Conference,Rank,Deadline,Time & Place,Full name of the Conference,Date for notification
KDD,A*,2017/02/17,"Aug. 13-17, 2017, Halifax, Nova Scotia, Canada",International Conference on Knowledge Discovery and Data Mining,
Ubicomp,A*,2017/04/15,"Sept. 11-15, 2017, Maui, Hawaii",International Joint Conference on Pervasive and Ubiquitous Computing,
SIGIR,A*,"2018/01/29(full),2018/02/19(short)","July 8-12, 2018, Ann Arbor Michigan, U.S.A.",International Conference on Research and Development in Information Retrieval,2018/04/11
CIKM,A,2017/05/16,"Nov. 6-10, 2017, Singapore",International Conference on Information and Knowledge Management,
RecSys,B,2017/04/03,"Aug. 27-31, 2017, Como, Italy",International Conference on Recommender Systems,
ICDM,A*,2017/06/05,"Nov. 18-21, 2017, New Orleans, USA",IEEE International Conference on Data Mining,2017/08/15
WSDM,A*,2017/08/11,"2018, Los Angeles, California, USA",International Conference on Web Search and Data Mining,
WISE,A,2017/04/09,"Oct. 7-11, 2017, Puschino, Moscow Region, Russia",International Conference on Web Information Systems Engineering,
ECML PKDD,A,"2017/10/01, 2017/11/05, 2017/12/10, 2018/01/28","Sept. 10-14, 2018, Dublin, Ireland",European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database,
ICML,A*,2017/02/24,"Aug. 6-11, 2017, International Convention Centre, Sydney, Australia",International Conference on Machine Learning,
SDM,A,"2017/10/06, 2017/10/13","San Diego, Califonia, USA",SIAM International Conference on Data Mining,
SIGGRAPH,A*,2017/02/14,"Jul. 30- Aug. 3, 2017, Los Angeles, USA",SIG International Conference on Computer Graphics and Interactive Techniques,
IJCAI,A*,2017/02/19,"Aug. 19-25, 2017, Melbourne, Australia",International Joint Conference on Artificial Intelligence,
NIPS,A*,2017/05/19,"Dec. 4-9, 2017, Long Beach Convention Center, Long Beach",Advances in Neural Information Processing Systems,
WWW,A*,2017/10/27,"Apr. 23-27, 2018, Lyon, France",International World Wide Web Conference,
AAAI,A*,2017/09/11,"Feb. 4-10, 2018, New Orleans, Lousiana, USA",National Conference of the American Association for Artificial Intelligence,2017/11/09
ICONIP,A,2017/07/15,"Nov. 14-18, 2017, Guangzhou, China",International Conference on Neural Information Processing,
ICWS,A,TBD,"July 1-6, 2018, San Francisco, USA",IEEE International Conference on Web Services,
ICSOC,A,2017/06/06,"Nov. 13-16, 2017, Malaga, Spain",International Conference on Service Oriented Computing,
CSCW,A,2017/04/27,Oct/Nov. 2018,ACM Conference on Computer Supported Cooperative Work,
PAKDD,A,2017/10/31,"MAY 15-18 2018, MELBOURNE, AUSTRALIA",Pacific-Asia Conference on Knowledge Discovery and Data Mining,2018/01/28
ICIS,A*,2017/05/05,"Dec. 10-13, 2017, Seoul, South Korea",International Conference on Information Systems,
ECAI,A,2018/02,"Jul. 13-19, 2018, Stockholm",European Conference on Artificial Intelligence,
IJCNN,A,2018/01/15,"Jul. 8-13, 2018, Rio de Janeiro, Brazil Acre, Brazil",IEEE International Joint Conference on Neural Networks,
AIM,A,2018/02/11,"Jul. 24-27, 2018, Auckland, New Zealand",Artificial Intelligence in Medicine,
IDA,A,2017/05/19,"Oct. 26-28, 2017, London, UK",Intelligent Data Analysis,
AMCIS,A,2018/02,"Aug. 16-18, 2018, New Orleans, LA, USA",Americas Conference on Information Systems,
OCIS,A,2017/05/10,"Jul. 21-26, 2018, Brisbane, Australia",AoM Organizational Communication and Information Systems,
ECIS,A,2017/11/16,"Jun. 23-28, 2018, Portsmouth, UK",European Conference on Information Systems,
CaiSE,A,2017/11,Jun. 2018,International Conference on Advanced Information Systems Engineering,
CoopIS,A,TBD,TBD,International Conference on Cooperative Information Systems,
PACIS,A,2018/03,"Jun. 26-30, 2018, Yokohama, Japan",Pacific Asia Conference on Information Systems,
ISD,A,2017/04/15,"Sept. 6-8, 2017, Pyla, Larnaca, Cyprus",International Conference on Information Systems Development,
ICDE,A*,2017/09/29,"Apr. 16-20, 2018, Paris, France",International Conference on Data Engineering,2017/12/22
UAI,A*,2017/03/01,"Aug. 11-15, 2017, Sydney, Australia",Conference in Uncertainty in Artificial Intelligence,
ICDAR,A,2017/04/01,"Nov. 9-15, 2017, Kyoto, Japan",IEEE International Conference on Document Analysis and Recognition,
ICPR,B,2018/01/05,"Aug. 20-24, 2018, Bejing, China",International Conference on Pattern Recognition,
AISTATS,A,2017/10/13,"Apr. 9-11, 2018, Playa Blanca, Lanzarote",International Conference on Artificial Intelligence and Statistics,2017/12/22
IUI,A,2017/10/08,"Mar. 7-11, 2018, Tokyo, Japan",International Conference on Intelligent User Interfaces,
